question_id,user_id,topic,word_count,word_count_bucket,created_date,created_dow,created_is_weekend,asker_country,asker_device_type,variant,asker_account_age_at_question_days,account_age_bucket,asker_prior_questions_count,asker_prior_quality_rate,num_views,num_answers,num_upvotes,upvote_rate,answer_rate,engagement_score,is_high_engagement,unique_answer_actors,unique_ask_actors,unique_upvote_actors,unique_view_actors,got_quality_answer
17682,1,health,51,medium,2026-06-29,Monday,False,in,mobile,control,76,established (3-12mo),0,,27,1,6,0.2222222222222222,0.037037037037037035,0.22491533623609095,0,2,1,2,1,1
20829,1,career,94,long,2026-07-04,Saturday,True,in,mobile,control,81,established (3-12mo),1,1.0,23,0,0,0.0,0.0,0.12820512820512822,0,0,1,0,2,0
21434,1,science,27,short,2026-07-05,Sunday,True,in,mobile,control,82,established (3-12mo),2,0.5,25,1,6,0.24,0.04,0.21209482341557814,0,0,1,1,4,1
35847,1,relationships,25,short,2026-07-28,Tuesday,False,in,mobile,control,105,established (3-12mo),3,0.6666666666666666,30,1,5,0.16666666666666666,0.03333333333333333,0.23785679729075956,0,0,1,0,5,1
3128,2,relationships,17,short,2026-06-06,Saturday,True,ca,desktop,control,833,veteran (1yr+),0,,15,1,4,0.26666666666666666,0.06666666666666667,0.1354136429608128,0,0,1,1,2,1
5063,2,career,18,short,2026-06-09,Tuesday,False,ca,desktop,control,836,veteran (1yr+),1,1.0,16,1,2,0.125,0.0625,0.12924528301886792,0,0,1,1,3,0
11919,2,relationships,26,short,2026-06-20,Saturday,True,ca,desktop,control,847,veteran (1yr+),2,0.5,17,1,4,0.23529411764705882,0.058823529411764705,0.1482341557813256,0,0,1,1,3,1
17018,2,career,20,short,2026-06-28,Sunday,True,ca,desktop,control,855,veteran (1yr+),3,0.6666666666666666,20,2,4,0.2,0.1,0.20079825834542817,0,1,1,2,2,1
25294,2,relationships,69,long,2026-07-11,Saturday,True,ca,desktop,control,868,veteran (1yr+),4,0.75,27,3,16,0.5925925925925926,0.1111111111111111,0.3544750846637639,1,0,1,3,4,1
27754,2,science,40,medium,2026-07-15,Wednesday,False,ca,desktop,control,872,veteran (1yr+),5,0.8,24,0,1,0.041666666666666664,0.0,0.14090469279148524,0,1,1,1,2,0
37092,2,relationships,44,medium,2026-07-30,Thursday,False,ca,desktop,control,887,veteran (1yr+),6,0.6666666666666666,27,0,1,0.037037037037037035,0.0,0.16013546202225448,0,0,1,0,4,0
1884,3,sports,25,short,2026-06-04,Thursday,False,br,mobile,treatment,726,veteran (1yr+),0,,20,2,8,0.4,0.1,0.22595549104983068,0,1,1,1,3,1
7581,3,relationships,37,medium,2026-06-13,Saturday,True,br,mobile,treatment,735,veteran (1yr+),1,1.0,24,1,5,0.20833333333333334,0.041666666666666664,0.19939525882922107,0,0,1,1,4,1
8792,3,technology,52,medium,2026-06-15,Monday,False,br,mobile,treatment,737,veteran (1yr+),2,1.0,28,0,1,0.03571428571428571,0.0,0.1665457184325109,0,1,1,0,3,0
17683,3,sports,34,medium,2026-06-29,Monday,False,br,mobile,treatment,751,veteran (1yr+),3,0.6666666666666666,26,0,1,0.038461538461538464,0.0,0.15372520561199807,0,1,1,1,2,0
20235,3,technology,28,short,2026-07-03,Friday,False,br,mobile,treatment,755,veteran (1yr+),4,0.5,21,0,0,0.0,0.0,0.11538461538461538,0,0,1,1,1,0
5683,6,education,34,medium,2026-06-10,Wednesday,False,ph,tablet,control,296,established (3-12mo),0,,24,2,11,0.4583333333333333,0.08333333333333333,0.2704644412191582,1,1,1,1,4,1
19605,6,technology,64,long,2026-07-02,Thursday,False,ph,tablet,control,318,established (3-12mo),1,1.0,29,3,12,0.41379310344827586,0.10344827586206896,0.3421383647798742,1,1,1,2,4,1
21435,6,technology,35,medium,2026-07-05,Sunday,True,ph,tablet,control,321,established (3-12mo),2,1.0,26,1,7,0.2692307692307692,0.038461538461538464,0.22479438800193516,0,1,1,0,4,1
22113,6,travel,56,medium,2026-07-06,Monday,False,ph,tablet,control,322,established (3-12mo),3,1.0,20,2,14,0.7,0.1,0.26369134010643447,0,0,1,0,5,1
26528,6,politics,43,medium,2026-07-13,Monday,False,ph,tablet,control,329,established (3-12mo),4,1.0,25,1,3,0.12,0.04,0.19322689888727626,0,0,1,0,5,1
30817,6,technology,44,medium,2026-07-20,Monday,False,ph,tablet,control,336,established (3-12mo),5,1.0,31,1,7,0.22580645161290322,0.03225806451612903,0.2568456700532172,0,0,1,0,5,1
651,7,education,92,long,2026-06-02,Tuesday,False,br,mobile,control,329,veteran (1yr+),0,,26,1,5,0.19230769230769232,0.038461538461538464,0.2122157716497339,0,2,1,0,3,1
4436,7,sports,52,medium,2026-06-08,Monday,False,br,mobile,control,335,veteran (1yr+),1,1.0,23,0,0,0.0,0.0,0.12820512820512822,0,0,1,0,2,0
7582,7,science,19,short,2026-06-13,Saturday,True,br,mobile,control,340,veteran (1yr+),2,0.5,29,1,2,0.06896551724137931,0.034482758620689655,0.21257861635220124,0,1,1,1,3,0
9457,7,travel,30,short,2026-06-16,Tuesday,False,br,mobile,control,343,veteran (1yr+),3,0.3333333333333333,27,2,9,0.3333333333333333,0.07407407407407407,0.2771165940977262,1,1,1,1,4,1
13208,7,sports,10,very_short,2026-06-22,Monday,False,br,mobile,control,349,veteran (1yr+),4,0.5,26,0,0,0.0,0.0,0.14743589743589744,0,0,1,0,3,0
32693,7,travel,34,medium,2026-07-23,Thursday,False,br,mobile,control,380,veteran (1yr+),5,0.4,24,2,10,0.4166666666666667,0.08333333333333333,0.26417513304305756,0,1,1,0,5,1
34586,7,relationships,15,very_short,2026-07-26,Sunday,True,br,mobile,control,383,veteran (1yr+),6,0.5,22,1,4,0.18181818181818182,0.045454545454545456,0.18028543783260764,0,0,1,1,3,1
35242,7,relationships,17,short,2026-07-27,Monday,False,br,mobile,control,384,veteran (1yr+),7,0.5714285714285714,29,2,6,0.20689655172413793,0.06896551724137931,0.2710691823899371,1,2,1,0,4,1
20830,8,relationships,63,long,2026-07-04,Saturday,True,in,mobile,control,278,established (3-12mo),0,,16,4,19,1.1875,0.25,0.33616352201257865,1,1,1,1,5,1
24060,8,relationships,24,short,2026-07-09,Thursday,False,in,mobile,control,283,established (3-12mo),1,1.0,20,0,1,0.05,0.0,0.1152636671504596,0,0,1,1,2,0
27147,8,education,18,short,2026-07-14,Tuesday,False,in,mobile,control,288,established (3-12mo),2,0.5,26,0,0,0.0,0.0,0.14743589743589744,0,0,1,0,3,0
28350,8,relationships,17,short,2026-07-16,Thursday,False,in,mobile,control,290,established (3-12mo),3,0.3333333333333333,21,3,10,0.47619047619047616,0.14285714285714285,0.2782776971456216,1,0,1,1,5,1
31424,8,technology,16,short,2026-07-21,Tuesday,False,in,mobile,control,295,established (3-12mo),4,0.5,10,1,2,0.2,0.1,0.09078374455732946,0,0,1,1,2,0
1885,9,politics,25,short,2026-06-04,Thursday,False,us,mobile,treatment,423,veteran (1yr+),0,,21,2,8,0.38095238095238093,0.09523809523809523,0.2323657474600871,0,2,1,1,2,1
4437,9,career,39,medium,2026-06-08,Monday,False,us,mobile,treatment,427,veteran (1yr+),1,1.0,19,1,6,0.3157894736842105,0.05263157894736842,0.17363328495403965,0,1,1,0,3,1
34587,10,career,21,short,2026-07-26,Sunday,True,in,mobile,control,290,established (3-12mo),0,,18,0,0,0.0,0.0,0.09615384615384615,0,0,1,0,2,0
2493,11,sports,45,medium,2026-06-05,Friday,False,br,desktop,treatment,440,veteran (1yr+),0,,13,1,5,0.38461538461538464,0.07692307692307693,0.1288824383164006,0,0,1,0,3,1
3754,11,travel,40,medium,2026-06-07,Sunday,True,br,desktop,treatment,442,veteran (1yr+),1,1.0,22,2,8,0.36363636363636365,0.09090909090909091,0.23877600387034348,0,0,1,1,4,1
4438,11,technology,24,short,2026-06-08,Monday,False,br,desktop,treatment,443,veteran (1yr+),2,1.0,20,0,0,0.0,0.0,0.10897435897435898,0,0,1,1,1,0
7583,11,relationships,49,medium,2026-06-13,Saturday,True,br,desktop,treatment,448,veteran (1yr+),3,0.6666666666666666,18,1,3,0.16666666666666666,0.05555555555555555,0.14835510401548135,0,2,1,0,2,1
29549,11,sports,22,short,2026-07-18,Saturday,True,br,desktop,treatment,483,veteran (1yr+),4,0.75,19,3,14,0.7368421052631579,0.15789473684210525,0.29061441702951135,1,1,1,2,3,1
6329,13,education,50,medium,2026-06-11,Thursday,False,us,mobile,treatment,568,veteran (1yr+),0,,19,2,8,0.42105263157894735,0.10526315789473684,0.21954523463957423,0,0,1,0,5,1
30168,13,technology,28,short,2026-07-19,Sunday,True,us,mobile,treatment,606,veteran (1yr+),1,1.0,23,1,5,0.21739130434782608,0.043478260869565216,0.19298500241896469,0,1,1,1,2,1
33334,13,politics,60,medium,2026-07-24,Friday,False,us,mobile,treatment,611,veteran (1yr+),2,1.0,18,2,11,0.6111111111111112,0.1111111111111111,0.23200290275761973,0,1,1,0,4,1
33335,14,technology,57,medium,2026-07-24,Friday,False,in,desktop,treatment,1163,veteran (1yr+),0,,15,2,7,0.4666666666666667,0.13333333333333333,0.187614900822448,0,1,1,1,2,1
1235,15,travel,35,medium,2026-06-03,Wednesday,False,gb,mobile,treatment,557,veteran (1yr+),0,,26,1,7,0.2692307692307692,0.038461538461538464,0.22479438800193516,0,0,1,1,4,1
5684,15,technology,32,medium,2026-06-10,Wednesday,False,gb,mobile,treatment,564,veteran (1yr+),1,1.0,23,1,4,0.17391304347826086,0.043478260869565216,0.18669569424286406,0,1,1,1,2,1
36458,16,health,22,short,2026-07-29,Wednesday,False,us,mobile,control,411,veteran (1yr+),0,,16,1,4,0.25,0.0625,0.14182389937106918,0,0,1,0,4,1
6330,17,career,44,medium,2026-06-11,Thursday,False,br,mobile,control,962,veteran (1yr+),0,,16,0,1,0.0625,0.0,0.08962264150943396,0,0,1,1,2,0
7584,17,health,64,long,2026-06-13,Saturday,True,br,mobile,control,964,veteran (1yr+),1,0.0,28,2,9,0.32142857142857145,0.07142857142857142,0.2835268505079826,1,0,1,0,6,1
15178,17,health,31,medium,2026-06-25,Thursday,False,br,mobile,control,976,veteran (1yr+),2,0.5,21,0,1,0.047619047619047616,0.0,0.121673923560716,0,0,1,1,2,0
20236,17,sports,34,medium,2026-07-03,Friday,False,br,mobile,control,984,veteran (1yr+),3,0.3333333333333333,30,1,5,0.16666666666666666,0.03333333333333333,0.23785679729075956,0,0,1,1,4,1
32694,17,education,27,short,2026-07-23,Thursday,False,br,mobile,control,1004,veteran (1yr+),4,0.5,20,0,0,0.0,0.0,0.10897435897435898,0,0,1,1,1,0
8202,18,finance,21,short,2026-06-14,Sunday,True,ca,tablet,control,1002,veteran (1yr+),0,,16,2,9,0.5625,0.125,0.20660377358490567,0,1,1,0,4,1
30818,18,technology,41,medium,2026-07-20,Monday,False,ca,tablet,control,1038,veteran (1yr+),1,1.0,33,1,6,0.18181818181818182,0.030303030303030304,0.2633768746976294,0,0,1,2,4,1
6977,20,finance,16,short,2026-06-12,Friday,False,in,mobile,control,1082,veteran (1yr+),0,,24,1,4,0.16666666666666666,0.041666666666666664,0.19310595065312045,0,0,1,2,3,1
35243,20,politics,84,long,2026-07-27,Monday,False,in,mobile,control,1127,veteran (1yr+),1,1.0,28,1,3,0.10714285714285714,0.03571428571428571,0.21245766811804548,0,0,1,1,4,1
7585,21,career,69,long,2026-06-13,Saturday,True,us,mobile,treatment,71,established (3-12mo),0,,24,0,0,0.0,0.0,0.1346153846153846,0,0,1,0,3,0
8793,21,science,21,short,2026-06-15,Monday,False,us,mobile,treatment,73,established (3-12mo),1,0.0,21,3,15,0.7142857142857143,0.14285714285714285,0.30972423802612475,1,0,1,1,5,1
18330,21,relationships,51,medium,2026-06-30,Tuesday,False,us,mobile,treatment,88,established (3-12mo),2,0.5,24,3,18,0.75,0.125,0.3478229317851959,1,0,1,1,6,1
23408,21,career,77,long,2026-07-08,Wednesday,False,us,mobile,treatment,96,established (3-12mo),3,0.6666666666666666,25,0,1,0.04,0.0,0.14731494920174165,0,0,1,1,3,0
24662,21,sports,27,short,2026-07-10,Friday,False,us,mobile,treatment,98,established (3-12mo),4,0.5,23,1,5,0.21739130434782608,0.043478260869565216,0.19298500241896469,0,0,1,1,3,1
14537,22,travel,34,medium,2026-06-24,Wednesday,False,us,desktop,control,653,veteran (1yr+),0,,32,1,8,0.25,0.03125,0.26954523463957425,1,0,1,2,4,1
21436,22,science,36,medium,2026-07-05,Sunday,True,us,desktop,control,664,veteran (1yr+),1,1.0,19,2,8,0.42105263157894735,0.10526315789473684,0.21954523463957423,0,2,1,1,2,1
22768,22,sports,41,medium,2026-07-07,Tuesday,False,us,desktop,control,666,veteran (1yr+),2,1.0,29,1,6,0.20689655172413793,0.034482758620689655,0.23773584905660375,0,1,1,1,3,1
28977,22,health,9,very_short,2026-07-17,Friday,False,us,desktop,control,676,veteran (1yr+),3,1.0,14,1,2,0.14285714285714285,0.07142857142857142,0.11642477019835511,0,1,1,0,2,0
31425,22,career,110,long,2026-07-21,Tuesday,False,us,desktop,control,680,veteran (1yr+),4,0.75,22,2,15,0.6818181818181818,0.09090909090909091,0.28280116110304787,1,0,1,2,3,1
2494,24,finance,18,short,2026-06-05,Friday,False,ca,mobile,control,320,veteran (1yr+),0,,14,3,11,0.7857142857142857,0.21428571428571427,0.2396952104499274,0,2,1,2,1,1
5064,24,career,30,short,2026-06-09,Tuesday,False,ca,mobile,control,324,veteran (1yr+),1,1.0,20,0,0,0.0,0.0,0.10897435897435898,0,0,1,1,1,0
18962,24,science,19,short,2026-07-01,Wednesday,False,ca,mobile,control,346,veteran (1yr+),2,0.5,24,0,0,0.0,0.0,0.1346153846153846,0,0,1,0,3,0
24061,24,technology,38,medium,2026-07-09,Thursday,False,ca,mobile,control,354,veteran (1yr+),3,0.3333333333333333,18,0,0,0.0,0.0,0.09615384615384615,0,0,1,0,2,0
27148,24,technology,24,short,2026-07-14,Tuesday,False,ca,mobile,control,359,veteran (1yr+),4,0.25,19,1,2,0.10526315789473684,0.05263157894736842,0.14847605224963714,0,0,1,1,3,0
34588,24,science,59,medium,2026-07-26,Sunday,True,ca,mobile,control,371,veteran (1yr+),5,0.2,22,2,13,0.5909090909090909,0.09090909090909091,0.2702225447508466,1,1,1,0,4,1
1,25,sports,70,long,2026-06-01,Monday,False,de,mobile,control,312,veteran (1yr+),0,,33,1,3,0.09090909090909091,0.030303030303030304,0.2445089501693275,0,0,1,1,5,1
12554,25,travel,79,long,2026-06-21,Sunday,True,de,mobile,control,332,veteran (1yr+),1,1.0,25,3,11,0.44,0.12,0.31020803096274796,1,0,1,2,5,1
15179,25,politics,17,short,2026-06-25,Thursday,False,de,mobile,control,336,veteran (1yr+),2,1.0,19,1,6,0.3157894736842105,0.05263157894736842,0.17363328495403965,0,0,1,0,4,1
17684,25,technology,25,short,2026-06-29,Monday,False,de,mobile,control,340,veteran (1yr+),3,1.0,16,2,10,0.625,0.125,0.2128930817610063,0,1,1,1,3,1
33986,25,technology,33,medium,2026-07-25,Saturday,True,de,mobile,control,366,veteran (1yr+),4,1.0,22,0,0,0.0,0.0,0.12179487179487179,0,0,1,1,1,0
35848,25,sports,65,long,2026-07-28,Tuesday,False,de,mobile,control,369,veteran (1yr+),5,0.8,30,0,0,0.0,0.0,0.1730769230769231,0,2,1,0,1,0
5065,26,science,14,very_short,2026-06-09,Tuesday,False,us,mobile,control,1002,veteran (1yr+),0,,16,1,4,0.25,0.0625,0.14182389937106918,0,1,1,1,2,1
