question_id,user_id,created_date,account_age_bucket,asker_account_age_at_question_days,asker_country,asker_device_type,asker_prior_quality_rate,asker_prior_questions_count,created_dow,created_is_weekend,log_word_count,topic,topic_prior_count,topic_prior_quality_rate,variant,word_count,word_count_bucket,word_count_z_within_topic,num_views,num_answers,num_upvotes,upvote_rate,answer_rate,engagement_score,is_high_engagement,unique_answer_actors,unique_ask_actors,unique_upvote_actors,unique_view_actors,got_quality_answer
17682,1,2026-06-29,established (3-12mo),76,in,mobile,,0,Monday,False,3.9512437185814275,health,1540,0.6909090909090909,control,51,medium,0.408522328747176,27,1,6,0.2222222222222222,0.037037037037037,0.2249153362360909,0,2,1,2,1,1
20829,1,2026-07-04,established (3-12mo),81,in,mobile,1.0,1,Saturday,True,4.553876891600541,career,2356,0.6774193548387096,control,94,long,2.202655182528952,23,0,0,0.0,0.0,0.1282051282051282,0,0,1,0,2,0
21434,1,2026-07-05,established (3-12mo),82,in,mobile,0.5,2,Sunday,True,3.332204510175204,science,2215,0.6975169300225733,control,27,short,-0.597537229652141,25,1,6,0.24,0.04,0.2120948234155781,0,0,1,1,4,1
35847,1,2026-07-28,established (3-12mo),105,in,mobile,0.6666666666666666,3,Tuesday,False,3.258096538021482,relationships,4345,0.7136939010356732,control,25,short,-0.6725237004550961,30,1,5,0.1666666666666666,0.0333333333333333,0.2378567972907595,0,0,1,0,5,1
3128,2,2026-06-06,veteran (1yr+),833,ca,desktop,,0,Saturday,True,2.8903717578961645,relationships,355,0.6957746478873239,control,17,short,-1.0111199640882627,15,1,4,0.2666666666666666,0.0666666666666666,0.1354136429608128,0,0,1,1,2,1
5063,2,2026-06-09,veteran (1yr+),836,ca,desktop,1.0,1,Tuesday,False,2.9444389791664403,career,597,0.6800670016750419,control,18,short,-0.9530015096377129,16,1,2,0.125,0.0625,0.1292452830188679,0,0,1,1,3,0
11919,2,2026-06-20,veteran (1yr+),847,ca,desktop,0.5,2,Saturday,True,3.295836866004329,relationships,1449,0.7053140096618358,control,26,short,-0.6301991675009503,17,1,4,0.2352941176470588,0.0588235294117647,0.1482341557813256,0,0,1,1,3,1
17018,2,2026-06-28,veteran (1yr+),855,ca,desktop,0.6666666666666666,3,Sunday,True,3.044522437723423,career,1931,0.6737441740031072,control,20,short,-0.8699579124754323,20,2,4,0.2,0.1,0.2007982583454281,0,1,1,2,2,1
25294,2,2026-07-11,veteran (1yr+),868,ca,desktop,0.75,4,Saturday,True,4.248495242049359,relationships,3059,0.7103628636809415,control,69,long,1.1897557495273203,27,3,16,0.5925925925925926,0.1111111111111111,0.3544750846637639,1,0,1,3,4,1
27754,2,2026-07-15,veteran (1yr+),872,ca,desktop,0.8,5,Wednesday,False,3.713572066704308,science,2841,0.6972896867300247,control,40,medium,-0.01861271942848141,24,0,1,0.0416666666666666,0.0,0.1409046927914852,0,1,1,1,2,0
