topic,n,quality_rate,avg_upvotes,avg_views,engagement_score,high_engagement_rate
travel,3024,0.714,6.388,23.399,0.218,0.252
relationships,4578,0.71,6.454,23.412,0.219,0.261
politics,2978,0.703,6.359,23.426,0.217,0.251
science,3876,0.7,6.501,23.299,0.218,0.259
education,3401,0.698,6.253,23.353,0.216,0.247
technology,6049,0.693,6.338,23.372,0.217,0.254
finance,3306,0.691,6.189,23.354,0.214,0.242
health,3294,0.689,6.306,23.317,0.216,0.247
career,4194,0.685,6.108,23.32,0.213,0.239
sports,3019,0.684,6.226,23.184,0.213,0.242
